歌名,歌手,专辑,时长,爬取时间
Stay With Me (PHONK),Grimmmz,Prog House,232秒,2025-04-13 19:07:33
我和你,唐宁,我和你,85秒,2025-04-13 19:07:33
"Henry, come on",Lana Del Rey,"Henry, come on",311秒,2025-04-13 19:07:33
大风吹过青瓦房,丹正母子,大风吹过青瓦房,197秒,2025-04-13 19:07:33
默契,郑秀文,浓情,220秒,2025-04-13 19:07:33
同花顺,慕滨阳,同花顺,247秒,2025-04-13 19:07:33
最近 (emo版),cici_,最近（emo版）,210秒,2025-04-13 19:07:33
伏线,呆呆破,伏线,295秒,2025-04-13 19:07:33
于是,要香菜,OR,232秒,2025-04-13 19:07:33
你是旷野 是山间的风,苏运莹,你是旷野 是山间的风,218秒,2025-04-13 19:07:33
Mystery of Love,Luke Pickman,Mystery of Love,213秒,2025-04-13 19:07:33
春雪 (我想爱你浅浅不停息),徐来,春雪 (我想爱你浅浅不停息),196秒,2025-04-13 19:07:33
泡芙小姐 (十三妖 你真正爱过一个人么),痛苦王子艾克斯,泡芙小姐 (十三妖 你真正爱过一个人么),154秒,2025-04-13 19:07:33
不删不聊不再打扰,杨不乖,不删不聊不再打扰,207秒,2025-04-13 19:07:33
推开世界的门,赵乃吉,推开世界的门,214秒,2025-04-13 19:07:33
Worldwide,法老,Worldwide,242秒,2025-04-13 19:07:33
陕北说书（爱青山爱绿水爱蓝蓝的天）,贰强,爱青山爱绿水爱蓝蓝的天,133秒,2025-04-13 19:07:33
所以看开了也算了 (我太笨),锤娜丽莎,所以看开了也算了 (我太笨),189秒,2025-04-13 19:07:33
少一点天分（最忠诚的不是爱）,Shake999,少一点天分,197秒,2025-04-13 19:07:33
Sunshine Girl,沐月 (moumoon),SPARK (火花),231秒,2025-04-13 19:07:33
倒带 (说的未来到底多久才来),小Y同学,倒带 (说的未来到底多久才来),227秒,2025-04-13 19:07:33
眼里都是你,马健涛,眼里都是你,304秒,2025-04-13 19:07:33
默契,邓岳章,默契,214秒,2025-04-13 19:07:33
4ever,Elhé,4ever,360秒,2025-04-13 19:07:33
Ideal Realm,PaTemrce,Wanted You (氛围版),207秒,2025-04-13 19:07:33
北京东路的日子,南京外国语学校高三六班,5sing原创音乐精选,279秒,2025-04-13 19:07:33
Ice On My Baby (sped-up|Explicit),Yung Bleu,Ice On My Baby (sped-up) [Explicit],198秒,2025-04-13 19:07:33
乌兰巴托的夜,索南吉,乌兰巴托的夜,266秒,2025-04-13 19:07:33
Move Up(Lost Gravity),Mr. Polska,Move Up (Lost Gravity),184秒,2025-04-13 19:07:33
爱恨一瞬间,sipsu孙恩,爱恨一瞬间,205秒,2025-04-13 19:07:33
泥巴 (Live),杨坤,天赐的声音第五季 第11期,272秒,2025-04-13 19:07:33
你装点了人世间,高睿,你装点了人世间,180秒,2025-04-13 19:07:33
如果真的爱不会算计,Ace恩盛,爱本质无异,131秒,2025-04-13 19:07:33
岁月里的花,莫文蔚,岁月里的花,254秒,2025-04-13 19:07:33
泡芙小姐 (如果泪水比爱还多),7iuu,孟加拉故事,175秒,2025-04-13 19:07:33
你呀你呀,王子健,你呀你呀,254秒,2025-04-13 19:07:33
twilight zone,Ariana Grande,eternal sunshine deluxe: brighter days ahead (Explicit),198秒,2025-04-13 19:07:33
搀扶,亦颜,搀扶,325秒,2025-04-13 19:07:33
Luxurious,Gwen Stefani,Luxurious - Single,264秒,2025-04-13 19:07:33
Butter-Fly,和田光司 (わだ こうじ),デジモンアドベンチャー・シングルヒットパレード (数码宝贝大冒险·最流行单曲),257秒,2025-04-13 19:07:33
Promise,HARIKIRI,Promise,207秒,2025-04-13 19:07:33
爱 哎 唉,卡铂,爱 哎 唉,191秒,2025-04-13 19:07:33
凡尘里的诗,陈小楠,凡尘里的诗,207秒,2025-04-13 19:07:33
带我走 (我求你带我走),赵太阳,带我走 (我求你带我走),226秒,2025-04-13 19:07:33
晨间新闻,蔡健雅,Goodbye & Hello,230秒,2025-04-13 19:07:33
渴望就可能,TOP登陆少年组合,渴望就可能,209秒,2025-04-13 19:07:33
剪,李沫非,雁回时 电视剧原声带,279秒,2025-04-13 19:07:33
真心的人最累,司徒兰芳,真心的人最累,208秒,2025-04-13 19:07:33
泥巴,乔浚丞,泥巴,253秒,2025-04-13 19:07:33
拜托拜托,王澳楠EVE,拜托拜托,186秒,2025-04-13 19:07:33
Wasted (Explicit),Juice WRLD,Wasted (Explicit),258秒,2025-04-13 19:07:33
三葉のテーマ (三叶的主题音乐),RADWIMPS (ラッドウィンプス),君の名は。 (《你的名字。》动画电影原声带),243秒,2025-04-13 19:07:33
好久不见 (Live),TFBOYS,TFBOYS「十年之约」演唱会LIVE辑,268秒,2025-04-13 19:07:33
等风也等我,小阿枫,等风也等我,211秒,2025-04-13 19:07:33
死了都要爱,信乐团,Shin,269秒,2025-04-13 19:07:33
我的无力成为了我的败笔,LyRR,我的无力成为了我的败笔,160秒,2025-04-13 19:07:33
I Really Want to Stay at Your House,Samuel Kim,I Really Want to Stay at Your House,246秒,2025-04-13 19:07:33
Adult Swim,KAI (金钟仁),Adult Swim,144秒,2025-04-13 19:07:33
uniqueness (氛围版),等一会就睡,抖音热播歌单,146秒,2025-04-13 19:07:33
我需要你需要你陪着我 (说唱版),队长的小斑鸠,我需要你需要你陪着我 (说唱版),180秒,2025-04-13 19:07:33
肩上蝶 (架子鼓版),金志文,肩上蝶(架子鼓版）,187秒,2025-04-13 19:07:33
Heaven devil (Phonk),HSHKGN,Heaven devil,138秒,2025-04-13 19:07:33
揣测,安扬,揣测,180秒,2025-04-13 19:07:33
深情的戏 骗人的计,小梁的（梁思琪）,深情的戏 骗人的计,207秒,2025-04-13 19:07:33
我的未来不是梦,张雨生,6个朋友,311秒,2025-04-13 19:07:33
